date,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,is_peak_season,is_school_holiday,temperature,rain_probability,is_rainy,visitors
2018-01-01,2018,1,1,0,1,1,0,1,0,0,64,0.15,0,45221
2018-01-02,2018,1,2,1,2,1,0,0,0,0,65,0.15,0,45595
2018-01-03,2018,1,3,2,3,1,0,0,0,0,64,0.15,1,52429
2018-01-04,2018,1,4,3,4,1,0,0,0,0,68,0.15,0,38259
2018-01-05,2018,1,5,4,5,1,0,0,0,0,69,0.15,0,41785
2018-01-06,2018,1,6,5,6,1,1,0,0,0,60,0.15,0,50801
2018-01-07,2018,1,7,6,7,1,1,0,0,0,62,0.15,0,45307
2018-01-08,2018,1,8,0,8,2,0,0,0,0,61,0.15,0,34074
2018-01-09,2018,1,9,1,9,2,0,0,0,0,62,0.15,1,31285
2018-01-10,2018,1,10,2,10,2,0,0,0,0,69,0.15,0,33918
2018-01-11,2018,1,11,3,11,2,0,0,0,0,68,0.15,0,36829
2018-01-12,2018,1,12,4,12,2,0,0,0,0,68,0.15,0,44495
2018-01-13,2018,1,13,5,13,2,1,0,0,0,69,0.15,0,52466
2018-01-14,2018,1,14,6,14,2,1,0,0,0,61,0.15,0,51166
2018-01-15,2018,1,15,0,15,3,0,1,0,0,62,0.15,0,33554
2018-01-16,2018,1,16,1,16,3,0,0,0,0,63,0.15,0,33936
2018-01-17,2018,1,17,2,17,3,0,0,0,0,68,0.15,0,31672
2018-01-18,2018,1,18,3,18,3,0,0,0,0,62,0.15,1,37844
2018-01-19,2018,1,19,4,19,3,0,0,0,0,66,0.15,0,44906
2018-01-20,2018,1,20,5,20,3,1,0,0,0,62,0.15,0,53223
2018-01-21,2018,1,21,6,21,3,1,0,0,0,66,0.15,0,44256
2018-01-22,2018,1,22,0,22,4,0,0,0,0,66,0.15,0,37621
2018-01-23,2018,1,23,1,23,4,0,0,0,0,68,0.15,0,31675
2018-01-24,2018,1,24,2,24,4,0,0,0,0,61,0.15,0,37093
2018-01-25,2018,1,25,3,25,4,0,0,0,0,65,0.15,0,38274
2018-01-26,2018,1,26,4,26,4,0,0,0,0,68,0.15,0,48208
2018-01-27,2018,1,27,5,27,4,1,0,0,0,61,0.15,0,59300
2018-01-28,2018,1,28,6,28,4,1,0,0,0,61,0.15,0,45735
2018-01-29,2018,1,29,0,29,5,0,0,0,0,64,0.15,0,34249
2018-01-30,2018,1,30,1,30,5,0,0,0,0,69,0.15,0,31062
2018-01-31,2018,1,31,2,31,5,0,0,0,0,69,0.15,0,32930
2018-02-01,2018,2,1,3,32,5,0,0,0,0,72,0.18,0,36340
2018-02-02,2018,2,2,4,33,5,0,0,0,0,70,0.18,1,40350
2018-02-03,2018,2,3,5,34,5,1,0,0,0,73,0.18,0,54849
2018-02-04,2018,2,4,6,35,5,1,0,0,0,71,0.18,0,51353
2018-02-05,2018,2,5,0,36,6,0,0,0,0,64,0.18,0,37725
2018-02-06,2018,2,6,1,37,6,0,0,0,0,67,0.18,0,29041
2018-02-07,2018,2,7,2,38,6,0,0,0,0,69,0.18,0,30759
2018-02-08,2018,2,8,3,39,6,0,0,0,0,68,0.18,1,33872
2018-02-09,2018,2,9,4,40,6,0,0,0,0,68,0.18,0,44990
2018-02-10,2018,2,10,5,41,6,1,0,0,0,69,0.18,0,40533
2018-02-11,2018,2,11,6,42,6,1,0,0,0,65,0.18,0,47892
2018-02-12,2018,2,12,0,43,7,0,0,0,0,65,0.18,0,31420
2018-02-13,2018,2,13,1,44,7,0,0,0,0,72,0.18,1,31053
2018-02-14,2018,2,14,2,45,7,0,0,0,0,71,0.18,0,32296
2018-02-15,2018,2,15,3,46,7,0,0,0,0,70,0.18,0,36044
2018-02-16,2018,2,16,4,47,7,0,0,0,0,67,0.18,1,45209
2018-02-17,2018,2,17,5,48,7,1,0,0,0,68,0.18,0,45868
