date,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,is_peak_season,is_school_holiday,temperature,rain_probability,is_rainy,visitors,quarter,is_month_start,is_month_end,season,visitors_lag1,visitors_lag7,visitors_ma7,visitors_ma30
2018-01-01,2018,1,1,0,1,1,0,1,0,0,64,0.15,0,45221,1,1,0,Winter,45183,45183,45183,45183
2018-01-02,2018,1,2,1,2,1,0,0,0,0,65,0.15,0,45595,1,0,0,Winter,45221,45183,45183,45183
2018-01-03,2018,1,3,2,3,1,0,0,0,0,64,0.15,1,52429,1,0,0,Winter,45595,45183,45183,45183
2018-01-04,2018,1,4,3,4,1,0,0,0,0,68,0.15,0,38259,1,0,0,Winter,52429,45183,45183,45183
2018-01-05,2018,1,5,4,5,1,0,0,0,0,69,0.15,0,41785,1,0,0,Winter,38259,45183,45183,45183
2018-01-06,2018,1,6,5,6,1,1,0,0,0,60,0.15,0,50801,1,0,0,Winter,41785,45183,45183,45183
2018-01-07,2018,1,7,6,7,1,1,0,0,0,62,0.15,0,45307,1,0,0,Winter,50801,45183,45628,45183
2018-01-08,2018,1,8,0,8,2,0,0,0,0,61,0.15,0,34074,1,0,0,Winter,45307,45221,44035,45183
2018-01-09,2018,1,9,1,9,2,0,0,0,0,62,0.15,1,31285,1,0,0,Winter,34074,45595,41991,45183
2018-01-10,2018,1,10,2,10,2,0,0,0,0,69,0.15,0,33918,1,0,0,Winter,31285,52429,39347,45183
2018-01-11,2018,1,11,3,11,2,0,0,0,0,68,0.15,0,36829,1,0,0,Winter,33918,38259,39142,45183
2018-01-12,2018,1,12,4,12,2,0,0,0,0,68,0.15,0,44495,1,0,0,Winter,36829,41785,39529,45183
2018-01-13,2018,1,13,5,13,2,1,0,0,0,69,0.15,0,52466,1,0,0,Winter,44495,50801,39767,45183
2018-01-14,2018,1,14,6,14,2,1,0,0,0,61,0.15,0,51166,1,0,0,Winter,52466,45307,40604,45183
2018-01-15,2018,1,15,0,15,3,0,1,0,0,62,0.15,0,33554,1,0,0,Winter,51166,34074,40530,45183
2018-01-16,2018,1,16,1,16,3,0,0,0,0,63,0.15,0,33936,1,0,0,Winter,33554,31285,40909,45183
2018-01-17,2018,1,17,2,17,3,0,0,0,0,68,0.15,0,31672,1,0,0,Winter,33936,33918,40588,45183
2018-01-18,2018,1,18,3,18,3,0,0,0,0,62,0.15,1,37844,1,0,0,Winter,31672,36829,40733,45183
2018-01-19,2018,1,19,4,19,3,0,0,0,0,66,0.15,0,44906,1,0,0,Winter,37844,44495,40792,45183
2018-01-20,2018,1,20,5,20,3,1,0,0,0,62,0.15,0,53223,1,0,0,Winter,44906,52466,40900,45183
2018-01-21,2018,1,21,6,21,3,1,0,0,0,66,0.15,0,44256,1,0,0,Winter,53223,51166,39913,45183
2018-01-22,2018,1,22,0,22,4,0,0,0,0,66,0.15,0,37621,1,0,0,Winter,44256,33554,40494,45183
2018-01-23,2018,1,23,1,23,4,0,0,0,0,68,0.15,0,31675,1,0,0,Winter,37621,33936,40171,45183
2018-01-24,2018,1,24,2,24,4,0,0,0,0,61,0.15,0,37093,1,0,0,Winter,31675,31672,40945,45183
2018-01-25,2018,1,25,3,25,4,0,0,0,0,65,0.15,0,38274,1,0,0,Winter,37093,37844,41006,45183
2018-01-26,2018,1,26,4,26,4,0,0,0,0,68,0.15,0,48208,1,0,0,Winter,38274,44906,41478,45183
2018-01-27,2018,1,27,5,27,4,1,0,0,0,61,0.15,0,59300,1,0,0,Winter,48208,53223,42346,45183
2018-01-28,2018,1,28,6,28,4,1,0,0,0,61,0.15,0,45735,1,0,0,Winter,59300,44256,42558,45183
2018-01-29,2018,1,29,0,29,5,0,0,0,0,64,0.15,0,34249,1,0,0,Winter,45735,37621,42076,45183
2018-01-30,2018,1,30,1,30,5,0,0,0,0,69,0.15,0,31062,1,0,0,Winter,34249,31675,41988,41541
2018-01-31,2018,1,31,2,31,5,0,0,0,0,69,0.15,0,32930,1,0,1,Winter,31062,37093,41394,41131
2018-02-01,2018,2,1,3,32,5,0,0,0,0,72,0.18,0,36340,1,1,0,Winter,32930,38274,41117,40823
2018-02-02,2018,2,2,4,33,5,0,0,0,0,70,0.18,1,40350,1,0,0,Winter,36340,48208,39995,40420
2018-02-03,2018,2,3,5,34,5,1,0,0,0,73,0.18,0,54849,1,0,0,Winter,40350,59300,39359,40973
2018-02-04,2018,2,4,6,35,5,1,0,0,0,71,0.18,0,51353,1,0,0,Winter,54849,45735,40161,41292
2018-02-05,2018,2,5,0,36,6,0,0,0,0,64,0.18,0,37725,1,0,0,Winter,51353,34249,40658,40856
2018-02-06,2018,2,6,1,37,6,0,0,0,0,67,0.18,0,29041,1,0,0,Winter,37725,31062,40369,40314
2018-02-07,2018,2,7,2,38,6,0,0,0,0,69,0.18,0,30759,1,0,0,Winter,29041,32930,40059,40203
2018-02-08,2018,2,8,3,39,6,0,0,0,0,68,0.18,1,33872,1,0,0,Winter,30759,36340,39707,40290
2018-02-09,2018,2,9,4,40,6,0,0,0,0,68,0.18,0,44990,1,0,0,Winter,33872,40350,40369,40659
