date,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,is_peak_season,is_school_holiday,temperature,rain_probability,is_rainy,visitors,quarter,is_month_start,is_month_end,season,visitors_lag1,visitors_lag7,visitors_ma7,visitors_ma30
2018-01-01,2018,1,1,0,1,1,0,1,0,0,64,0.15,0,45221,1,1,0,Winter,45183.46382479468,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-02,2018,1,2,1,2,1,0,0,0,0,65,0.15,0,45595,1,0,0,Winter,45221.0,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-03,2018,1,3,2,3,1,0,0,0,0,64,0.15,1,52429,1,0,0,Winter,45595.0,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-04,2018,1,4,3,4,1,0,0,0,0,68,0.15,0,38259,1,0,0,Winter,52429.0,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-05,2018,1,5,4,5,1,0,0,0,0,69,0.15,0,41785,1,0,0,Winter,38259.0,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-06,2018,1,6,5,6,1,1,0,0,0,60,0.15,0,50801,1,0,0,Winter,41785.0,45183.46382479468,45183.46382479468,45183.46382479468
2018-01-07,2018,1,7,6,7,1,1,0,0,0,62,0.15,0,45307,1,0,0,Winter,50801.0,45183.46382479468,45628.142857142855,45183.46382479468
2018-01-08,2018,1,8,0,8,2,0,0,0,0,61,0.15,0,34074,1,0,0,Winter,45307.0,45221.0,44035.71428571428,45183.46382479468
2018-01-09,2018,1,9,1,9,2,0,0,0,0,62,0.15,1,31285,1,0,0,Winter,34074.0,45595.0,41991.42857142857,45183.46382479468
2018-01-10,2018,1,10,2,10,2,0,0,0,0,69,0.15,0,33918,1,0,0,Winter,31285.0,52429.0,39347.0,45183.46382479468
2018-01-11,2018,1,11,3,11,2,0,0,0,0,68,0.15,0,36829,1,0,0,Winter,33918.0,38259.0,39142.71428571428,45183.46382479468
2018-01-12,2018,1,12,4,12,2,0,0,0,0,68,0.15,0,44495,1,0,0,Winter,36829.0,41785.0,39529.857142857145,45183.46382479468
2018-01-13,2018,1,13,5,13,2,1,0,0,0,69,0.15,0,52466,1,0,0,Winter,44495.0,50801.0,39767.71428571428,45183.46382479468
2018-01-14,2018,1,14,6,14,2,1,0,0,0,61,0.15,0,51166,1,0,0,Winter,52466.0,45307.0,40604.71428571428,45183.46382479468
2018-01-15,2018,1,15,0,15,3,0,1,0,0,62,0.15,0,33554,1,0,0,Winter,51166.0,34074.0,40530.42857142857,45183.46382479468
2018-01-16,2018,1,16,1,16,3,0,0,0,0,63,0.15,0,33936,1,0,0,Winter,33554.0,31285.0,40909.142857142855,45183.46382479468
2018-01-17,2018,1,17,2,17,3,0,0,0,0,68,0.15,0,31672,1,0,0,Winter,33936.0,33918.0,40588.28571428572,45183.46382479468
2018-01-18,2018,1,18,3,18,3,0,0,0,0,62,0.15,1,37844,1,0,0,Winter,31672.0,36829.0,40733.28571428572,45183.46382479468
2018-01-19,2018,1,19,4,19,3,0,0,0,0,66,0.15,0,44906,1,0,0,Winter,37844.0,44495.0,40792.0,45183.46382479468
2018-01-20,2018,1,20,5,20,3,1,0,0,0,62,0.15,0,53223,1,0,0,Winter,44906.0,52466.0,40900.142857142855,45183.46382479468
2018-01-21,2018,1,21,6,21,3,1,0,0,0,66,0.15,0,44256,1,0,0,Winter,53223.0,51166.0,39913.0,45183.46382479468
2018-01-22,2018,1,22,0,22,4,0,0,0,0,66,0.15,0,37621,1,0,0,Winter,44256.0,33554.0,40494.0,45183.46382479468
2018-01-23,2018,1,23,1,23,4,0,0,0,0,68,0.15,0,31675,1,0,0,Winter,37621.0,33936.0,40171.0,45183.46382479468
2018-01-24,2018,1,24,2,24,4,0,0,0,0,61,0.15,0,37093,1,0,0,Winter,31675.0,31672.0,40945.42857142857,45183.46382479468
2018-01-25,2018,1,25,3,25,4,0,0,0,0,65,0.15,0,38274,1,0,0,Winter,37093.0,37844.0,41006.857142857145,45183.46382479468
2018-01-26,2018,1,26,4,26,4,0,0,0,0,68,0.15,0,48208,1,0,0,Winter,38274.0,44906.0,41478.57142857143,45183.46382479468
2018-01-27,2018,1,27,5,27,4,1,0,0,0,61,0.15,0,59300,1,0,0,Winter,48208.0,53223.0,42346.71428571428,45183.46382479468
2018-01-28,2018,1,28,6,28,4,1,0,0,0,61,0.15,0,45735,1,0,0,Winter,59300.0,44256.0,42558.0,45183.46382479468
2018-01-29,2018,1,29,0,29,5,0,0,0,0,64,0.15,0,34249,1,0,0,Winter,45735.0,37621.0,42076.28571428572,45183.46382479468
2018-01-30,2018,1,30,1,30,5,0,0,0,0,69,0.15,0,31062,1,0,0,Winter,34249.0,31675.0,41988.71428571428,41541.26666666667
2018-01-31,2018,1,31,2,31,5,0,0,0,0,69,0.15,0,32930,1,0,1,Winter,31062.0,37093.0,41394.0,41131.566666666666
2018-02-01,2018,2,1,3,32,5,0,0,0,0,72,0.18,0,36340,1,1,0,Winter,32930.0,38274.0,41117.71428571428,40823.066666666666
2018-02-02,2018,2,2,4,33,5,0,0,0,0,70,0.18,1,40350,1,0,0,Winter,36340.0,48208.0,39995.142857142855,40420.433333333334
2018-02-03,2018,2,3,5,34,5,1,0,0,0,73,0.18,0,54849,1,0,0,Winter,40350.0,59300.0,39359.28571428572,40973.433333333334
2018-02-04,2018,2,4,6,35,5,1,0,0,0,71,0.18,0,51353,1,0,0,Winter,54849.0,45735.0,40161.857142857145,41292.36666666667
2018-02-05,2018,2,5,0,36,6,0,0,0,0,64,0.18,0,37725,1,0,0,Winter,51353.0,34249.0,40658.42857142857,40856.5
2018-02-06,2018,2,6,1,37,6,0,0,0,0,67,0.18,0,29041,1,0,0,Winter,37725.0,31062.0,40369.71428571428,40314.3
2018-02-07,2018,2,7,2,38,6,0,0,0,0,69,0.18,0,30759,1,0,0,Winter,29041.0,32930.0,40059.57142857143,40203.8
2018-02-08,2018,2,8,3,39,6,0,0,0,0,68,0.18,1,33872,1,0,0,Winter,30759.0,36340.0,39707.0,40290.03333333333
2018-02-09,2018,2,9,4,40,6,0,0,0,0,68,0.18,0,44990,1,0,0,Winter,33872.0,40350.0,40369.857142857145,40659.1
2018-02-10,2018,2,10,5,41,6,1,0,0,0,69,0.18,0,40533,1,0,0,Winter,44990.0,54849.0,38324.71428571428,40782.566666666666
2018-02-11,2018,2,11,6,42,6,1,0,0,0,65,0.18,0,47892,1,0,0,Winter,40533.0,51353.0,37830.28571428572,40895.8
2018-02-12,2018,2,12,0,43,7,0,0,0,0,65,0.18,0,31420,1,0,0,Winter,47892.0,37725.0,36929.57142857143,40194.26666666667
2018-02-13,2018,2,13,1,44,7,0,0,0,0,72,0.18,1,31053,1,0,0,Winter,31420.0,29041.0,37217.0,39523.833333333336
2018-02-14,2018,2,14,2,45,7,0,0,0,0,71,0.18,0,32296,1,0,0,Winter,31053.0,30759.0,37436.57142857143,39481.9
2018-02-15,2018,2,15,3,46,7,0,0,0,0,70,0.18,0,36044,1,0,0,Winter,32296.0,33872.0,37746.857142857145,39552.166666666664
2018-02-16,2018,2,16,4,47,7,0,0,0,0,67,0.18,1,45209,1,0,0,Winter,36044.0,44990.0,37778.142857142855,40003.4
2018-02-17,2018,2,17,5,48,7,1,0,0,0,68,0.18,0,45868,1,0,0,Winter,45209.0,40533.0,38540.28571428572,40270.86666666667
2018-02-18,2018,2,18,6,49,7,1,0,0,0,73,0.18,0,44703,1,0,0,Winter,45868.0,47892.0,38084.71428571428,40264.1
2018-02-19,2018,2,19,0,50,8,0,1,0,0,72,0.18,0,35208,1,0,0,Winter,44703.0,31420.0,38625.857142857145,39663.6
2018-02-20,2018,2,20,1,51,8,0,0,0,0,63,0.18,0,32866,1,0,0,Winter,35208.0,31053.0,38884.857142857145,39283.933333333334
2018-02-21,2018,2,21,2,52,8,0,0,0,0,72,0.18,0,31885,1,0,0,Winter,32866.0,32296.0,38826.142857142855,39092.73333333333
2018-02-22,2018,2,22,3,53,8,0,0,0,0,63,0.18,1,40003,1,0,0,Winter,31885.0,36044.0,39391.71428571428,39370.333333333336
2018-02-23,2018,2,23,4,54,8,0,0,0,0,66,0.18,1,40359,1,0,0,Winter,40003.0,45209.0,38698.857142857145,39479.2
2018-02-24,2018,2,24,5,55,8,1,0,0,0,64,0.18,0,54109,1,0,0,Winter,40359.0,45868.0,39876.142857142855,40007.03333333333
2018-02-25,2018,2,25,6,56,8,1,0,0,0,73,0.18,0,47723,1,0,0,Winter,54109.0,44703.0,40307.57142857143,39990.86666666667
2018-02-26,2018,2,26,0,57,9,0,0,0,0,69,0.18,0,30209,1,0,0,Winter,47723.0,35208.0,39593.42857142857,39021.166666666664
2018-02-27,2018,2,27,1,58,9,0,0,0,0,64,0.18,0,32698,1,0,0,Winter,30209.0,32866.0,39569.42857142857,38586.6
2018-02-28,2018,2,28,2,59,9,0,0,0,0,72,0.18,1,30046,1,0,1,Winter,32698.0,31885.0,39306.71428571428,38446.5
2018-03-01,2018,3,1,3,60,9,0,0,1,1,68,0.2,0,57266,1,1,0,Spring,30046.0,40003.0,41772.857142857145,39319.96666666667
2018-03-02,2018,3,2,4,61,9,0,0,1,1,71,0.2,1,62669,1,0,0,Spring,57266.0,40359.0,44960.0,40311.26666666667
2018-03-03,2018,3,3,5,62,9,1,0,1,1,70,0.2,1,80000,1,0,0,Spring,62669.0,54109.0,48658.71428571428,41766.6
2018-03-04,2018,3,4,6,63,9,1,0,1,1,74,0.2,0,80000,1,0,0,Spring,80000.0,47723.0,53269.71428571428,43088.26666666667
2018-03-05,2018,3,5,0,64,10,0,0,1,1,70,0.2,0,45581,1,0,0,Spring,80000.0,30209.0,55465.71428571428,42779.333333333336
2018-03-06,2018,3,6,1,65,10,0,0,1,1,72,0.2,0,50005,1,0,0,Spring,45581.0,32698.0,57938.142857142855,42734.4
2018-03-07,2018,3,7,2,66,10,0,0,1,1,71,0.2,0,47669,1,0,0,Spring,50005.0,30046.0,60455.71428571428,43065.86666666667
2018-03-08,2018,3,8,3,67,10,0,0,1,1,77,0.2,1,52085,1,0,0,Spring,47669.0,57266.0,59715.57142857143,43834.0
2018-03-09,2018,3,9,4,68,10,0,0,1,1,68,0.2,1,63344,1,0,0,Spring,52085.0,62669.0,59812.0,44920.166666666664
2018-03-10,2018,3,10,5,69,10,1,0,1,1,77,0.2,0,80000,1,0,0,Spring,63344.0,80000.0,59812.0,46457.76666666667
2018-03-11,2018,3,11,6,70,10,1,0,1,1,74,0.2,1,80000,1,0,0,Spring,80000.0,80000.0,59812.0,47624.76666666667
2018-03-12,2018,3,12,0,71,11,0,0,1,1,68,0.2,0,72561,1,0,0,Spring,80000.0,45581.0,63666.28571428572,48692.36666666667
2018-03-13,2018,3,13,1,72,11,0,0,1,1,75,0.2,1,62386,1,0,0,Spring,72561.0,50005.0,65435.0,49175.5
2018-03-14,2018,3,14,2,73,11,0,0,1,1,75,0.2,0,62007,1,0,0,Spring,62386.0,47669.0,67483.28571428571,50195.066666666666
2018-03-15,2018,3,15,3,74,11,0,0,1,1,69,0.2,1,76445,1,0,0,Spring,62007.0,52085.0,70963.28571428571,51708.13333333333
2018-03-16,2018,3,16,4,75,11,0,0,1,1,70,0.2,1,80000,1,0,0,Spring,76445.0,63344.0,73342.71428571429,53298.26666666667
2018-03-17,2018,3,17,5,76,11,1,0,1,1,74,0.2,0,80000,1,0,0,Spring,80000.0,80000.0,73342.71428571429,54763.46666666667
2018-03-18,2018,3,18,6,77,11,1,0,1,1,75,0.2,0,77958,1,0,0,Spring,80000.0,80000.0,73051.0,55855.1
2018-03-19,2018,3,19,0,78,12,0,0,1,1,69,0.2,1,64346,1,0,0,Spring,77958.0,72561.0,71877.42857142857,56471.03333333333
2018-03-20,2018,3,20,1,79,12,0,0,1,1,71,0.2,0,59450,1,0,0,Spring,64346.0,62386.0,71458.0,56962.6
2018-03-21,2018,3,21,2,80,12,0,0,1,1,77,0.2,0,66693,1,0,0,Spring,59450.0,62007.0,72127.42857142857,58012.1
2018-03-22,2018,3,22,3,81,12,0,0,1,1,74,0.2,0,67105,1,0,0,Spring,66693.0,76445.0,70793.14285714286,59153.4
