year,month,day,weekday,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,is_weekend,is_holiday,is_school_break,is_rainy,has_special_event,weekend_or_holiday,summer_weekend,holiday_multiplier,temperature,attendance_lag1,attendance_lag7,attendance_rolling_30,season_encoded,attendance
2016,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,False,True,False,False,True,1,0,1.3,6.5,73521.10375034218,73521.10375034218,50426.0,3,50426
2016,1,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.03442161162274574,0.9994074007397048,True,True,False,False,True,1,0,1.3,4.6,50426.0,73521.10375034218,51198.0,3,51970
2016,1,3,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.051619667223253764,0.998666816288476,True,True,False,False,True,1,0,1.3,6.9,51970.0,73521.10375034218,49623.0,3,46473
2016,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.06880242680231986,0.9976303053065857,False,False,False,False,True,0,0,1.0,9.6,46473.0,73521.10375034218,47461.25,3,40976
2016,1,5,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.08596479873744647,0.9962981749346078,False,False,False,False,True,0,0,1.0,4.3,40976.0,73521.10375034218,46688.0,3,43595
2016,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.10310169744743485,0.9946708199115211,False,False,False,False,True,0,0,1.0,4.3,43595.0,73521.10375034218,43521.5,3,27689
2016,1,7,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.1202080448993527,0.9927487224577402,False,False,False,True,True,0,0,1.0,9.7,27689.0,73521.10375034218,42541.28571428572,3,36660
2016,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.13727877211326478,0.9905324521322229,False,False,False,False,True,0,0,1.0,7.3,36660.0,50426.0,41191.25,3,31741
2016,1,9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.15430882066428117,0.9880226656636976,True,False,False,False,True,1,0,1.0,3.6,31741.0,51970.0,41171.555555555555,3,41014
2016,1,10,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1712931441814776,0.9852201067560606,True,False,False,False,True,1,0,1.0,6.6,41014.0,46473.0,40952.5,3,38981
2016,1,11,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.1882267098432442,0.9821256058680006,False,False,False,True,True,0,0,1.0,3.6,38981.0,40976.0,39797.36363636364,3,28246
2016,1,12,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.2051044998686192,0.9787400799669153,False,False,False,False,True,0,0,1.0,3.6,28246.0,43595.0,39425.0,3,35329
2016,1,13,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.22192151300416552,0.9750645322571948,False,False,False,False,True,0,0,1.0,5.7,35329.0,27689.0,39238.38461538462,3,36999
2016,1,14,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.2386727660059501,0.9711000518829505,False,False,False,False,True,0,0,1.0,-0.7,36999.0,36660.0,39406.357142857145,3,41590
2016,1,15,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.255353295116187,0.9668478136052775,False,False,False,False,True,0,0,1.0,-0.2,41590.0,31741.0,38956.86666666667,3,32664
2016,1,16,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.2719581575341055,0.9623090774541486,True,False,False,False,True,1,0,1.0,3.3,32664.0,41014.0,38100.3125,3,25252
2016,1,17,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.288482432880609,0.9574851883550393,True,False,False,False,True,1,0,1.0,2.0,25252.0,38981.0,37618.470588235294,3,29909
2016,1,18,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.30492122465628907,0.9523775757303974,False,False,False,False,True,0,0,1.0,5.9,29909.0,28246.0,37538.0,3,36170
2016,1,19,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.3212696616923644,0.9469877530760753,False,False,False,False,True,0,0,1.0,2.3,36170.0,35329.0,37195.42105263158,3,31029
