date,year,month,day,weekday,weekday_name,is_weekend,is_holiday,holiday_name,holiday_multiplier,monthly_weight,weekday_weight,attendance,season,is_school_break,temperature,is_rainy,has_special_event,day_of_year,week_of_year,is_month_start,is_month_end
2016-01-01,2016,1,1,4,Friday,False,True,new_year,1.3,0.07450331125827815,1.0862068965517242,50426,winter,False,6.5,0,True,1,53,True,False
2016-01-02,2016,1,2,5,Saturday,True,True,new_year,1.3,0.07450331125827815,1.0862068965517242,51970,winter,False,4.6,0,True,2,53,True,False
2016-01-03,2016,1,3,6,Sunday,True,True,new_year,1.3,0.07450331125827815,0.9454022988505747,46473,winter,False,6.9,0,True,3,53,True,False
2016-01-04,2016,1,4,0,Monday,False,False,,1.0,0.07450331125827815,1.0660919540229885,40976,winter,False,9.6,0,True,4,1,True,False
2016-01-05,2016,1,5,1,Tuesday,False,False,,1.0,0.07450331125827815,0.9655172413793103,43595,winter,False,4.3,0,True,5,1,True,False
2016-01-06,2016,1,6,2,Wednesday,False,False,,1.0,0.07450331125827815,0.8850574712643678,27689,winter,False,4.3,0,True,6,1,False,False
2016-01-07,2016,1,7,3,Thursday,False,False,,1.0,0.07450331125827815,0.9655172413793103,36660,winter,False,9.7,1,True,7,1,False,False
2016-01-08,2016,1,8,4,Friday,False,False,,1.0,0.07450331125827815,1.0862068965517242,31741,winter,False,7.3,0,True,8,1,False,False
2016-01-09,2016,1,9,5,Saturday,True,False,,1.0,0.07450331125827815,1.0862068965517242,41014,winter,False,3.6,0,True,9,1,False,False
2016-01-10,2016,1,10,6,Sunday,True,False,,1.0,0.07450331125827815,0.9454022988505747,38981,winter,False,6.6,0,True,10,1,False,False
2016-01-11,2016,1,11,0,Monday,False,False,,1.0,0.07450331125827815,1.0660919540229885,28246,winter,False,3.6,1,True,11,2,False,False
2016-01-12,2016,1,12,1,Tuesday,False,False,,1.0,0.07450331125827815,0.9655172413793103,35329,winter,False,3.6,0,True,12,2,False,False
2016-01-13,2016,1,13,2,Wednesday,False,False,,1.0,0.07450331125827815,0.8850574712643678,36999,winter,False,5.7,0,True,13,2,False,False
2016-01-14,2016,1,14,3,Thursday,False,False,,1.0,0.07450331125827815,0.9655172413793103,41590,winter,False,-0.7,0,True,14,2,False,False
2016-01-15,2016,1,15,4,Friday,False,False,,1.0,0.07450331125827815,1.0862068965517242,32664,winter,False,-0.2,0,True,15,2,False,False
2016-01-16,2016,1,16,5,Saturday,True,False,,1.0,0.07450331125827815,1.0862068965517242,25252,winter,False,3.3,0,True,16,2,False,False
2016-01-17,2016,1,17,6,Sunday,True,False,,1.0,0.07450331125827815,0.9454022988505747,29909,winter,False,2.0,0,True,17,2,False,False
2016-01-18,2016,1,18,0,Monday,False,False,,1.0,0.07450331125827815,1.0660919540229885,36170,winter,False,5.9,0,True,18,3,False,False
2016-01-19,2016,1,19,1,Tuesday,False,False,,1.0,0.07450331125827815,0.9655172413793103,31029,winter,False,2.3,0,True,19,3,False,False
2016-01-20,2016,1,20,2,Wednesday,False,False,,1.0,0.07450331125827815,0.8850574712643678,28382,winter,True,0.8,1,True,20,3,False,False
