date,year,month,day,weekday,weekday_name,is_weekend,is_holiday,holiday_name,holiday_multiplier,monthly_weight,weekday_weight,attendance,season,is_school_break,temperature,is_rainy,has_special_event,day_of_year,week_of_year,is_month_start,is_month_end,temp_bin,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,weekend_or_holiday,summer_weekend,attendance_lag1,attendance_lag7,attendance_rolling_30,season_encoded
2016-01-01,2016,1,1,4,Friday,False,True,new_year,1.3,0.0745033112582781,1.0862068965517242,50426,winter,False,6.5,False,True,1,53,True,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,1,0,73521.10375034218,73521.10375034218,50426.0,3
2016-01-02,2016,1,2,5,Saturday,True,True,new_year,1.3,0.0745033112582781,1.0862068965517242,51970,winter,False,4.6,False,True,2,53,True,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.03442161162274574,0.9994074007397048,1,0,50426.0,73521.10375034218,51198.0,3
2016-01-03,2016,1,3,6,Sunday,True,True,new_year,1.3,0.0745033112582781,0.9454022988505748,46473,winter,False,6.9,False,True,3,53,True,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.051619667223253764,0.998666816288476,1,0,51970.0,73521.10375034218,49623.0,3
2016-01-04,2016,1,4,0,Monday,False,False,,1.0,0.0745033112582781,1.0660919540229885,40976,winter,False,9.6,False,True,4,1,True,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.0,1.0,0.06880242680231986,0.9976303053065857,0,0,46473.0,73521.10375034218,47461.25,3
2016-01-05,2016,1,5,1,Tuesday,False,False,,1.0,0.0745033112582781,0.9655172413793104,43595,winter,False,4.3,False,True,5,1,True,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.08596479873744647,0.9962981749346078,0,0,40976.0,73521.10375034218,46688.0,3
2016-01-06,2016,1,6,2,Wednesday,False,False,,1.0,0.0745033112582781,0.8850574712643678,27689,winter,False,4.3,False,True,6,1,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.10310169744743485,0.9946708199115211,0,0,43595.0,73521.10375034218,43521.5,3
2016-01-07,2016,1,7,3,Thursday,False,False,,1.0,0.0745033112582781,0.9655172413793104,36660,winter,False,9.7,True,True,7,1,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.1202080448993527,0.9927487224577402,0,0,27689.0,73521.10375034218,42541.28571428572,3
2016-01-08,2016,1,8,4,Friday,False,False,,1.0,0.0745033112582781,1.0862068965517242,31741,winter,False,7.3,False,True,8,1,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.13727877211326478,0.9905324521322229,0,0,36660.0,50426.0,41191.25,3
2016-01-09,2016,1,9,5,Saturday,True,False,,1.0,0.0745033112582781,1.0862068965517242,41014,winter,False,3.6,False,True,9,1,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.15430882066428117,0.9880226656636976,1,0,31741.0,51970.0,41171.555555555555,3
2016-01-10,2016,1,10,6,Sunday,True,False,,1.0,0.0745033112582781,0.9454022988505748,38981,winter,False,6.6,False,True,10,1,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1712931441814776,0.9852201067560606,1,0,41014.0,46473.0,40952.5,3
2016-01-11,2016,1,11,0,Monday,False,False,,1.0,0.0745033112582781,1.0660919540229885,28246,winter,False,3.6,True,True,11,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.0,1.0,0.1882267098432442,0.9821256058680006,0,0,38981.0,40976.0,39797.36363636364,3
2016-01-12,2016,1,12,1,Tuesday,False,False,,1.0,0.0745033112582781,0.9655172413793104,35329,winter,False,3.6,False,True,12,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.2051044998686192,0.9787400799669153,0,0,28246.0,43595.0,39425.0,3
2016-01-13,2016,1,13,2,Wednesday,False,False,,1.0,0.0745033112582781,0.8850574712643678,36999,winter,False,5.7,False,True,13,2,False,False,凉爽(5-15°C),0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.22192151300416552,0.9750645322571948,0,0,35329.0,27689.0,39238.38461538462,3
2016-01-14,2016,1,14,3,Thursday,False,False,,1.0,0.0745033112582781,0.9655172413793104,41590,winter,False,-0.7,False,True,14,2,False,False,寒冷(<5°C),0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.2386727660059501,0.9711000518829505,0,0,36999.0,36660.0,39406.357142857145,3
